,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
1183,1183,6166,Doe - Arcres,oil and gas,asset,Canada,55.945,-120.17,Onshore,"https://www.gem.wiki/Doe_-_Arcres_Oil_and_Gas_Asset_(British_Columbia,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,12.0,24.0,1.471702658371024,24.0
1192,1192,6196,Nig - Tourmaline,oil and gas,asset,Canada,57.05,-121.59,Onshore,"https://www.gem.wiki/Nig_-_Tourmaline_Oil_and_Gas_Asset_(British_Columbia,_Canada)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,2.0,2.0,1.7250734008564228,2.0
1194,1194,6203,Inga - Cop,oil and gas,asset,Canada,56.613,-121.648,Onshore,"https://www.gem.wiki/Inga_-_Cop_Oil_and_Gas_Asset_(British_Columbia,_Canada)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,2.0,2.0,2.215414429015309,2.0
1198,1198,6221,Inga - Arcres,oil and gas,asset,Canada,56.613,-121.648,Onshore,"https://www.gem.wiki/Inga_-_Arcres_Oil_and_Gas_Asset_(British_Columbia,_Canada)",2016-01,2026-02,688.0,Onshore hydraulic fracturing (primary technology),True,2.0,2.0,2.215414429015309,2.0
1202,1202,6228,Jedney - Petronas,oil and gas,asset,Canada,57.272,-122.246,Onshore,"https://www.gem.wiki/Jedney_-_Petronas_Oil_and_Gas_Asset_(British_Columbia,_Canada)",2016-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,5.0,10.0,0.8548007787708246,10.0
1207,1207,6247,Sijan,oil,field,Syria,35.217781,40.746587,Onshore,https://www.gem.wiki/Sijan_Oil_Field_(Syria),2016-01,2026-02,,,True,5.0,5.0,0.0,5.0
1208,1208,6248,Azraq,oil,field,Syria,35.058603,40.855906,Onshore,https://www.gem.wiki/Azraq_Oil_Field_(Syria),2016-01,2026-02,,Onshore conventional vertical drilling,True,7.0,7.0,0.0,7.0
1210,1210,6273,Daly Sinclair - Corex Resources,oil,asset,Canada,49.778,-101.289,Onshore,"https://www.gem.wiki/Daly_Sinclair_-_Corex_Resources_Oil_Asset_(Manitoba,_Canada)",2016-01,2026-02,1000.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,5.0,0.2831509686247211,5.0
1211,1211,6276,Pierson - Canadian Natural Resources Limited,oil,asset,Canada,49.12,-101.27,Onshore,"https://www.gem.wiki/Pierson_-_Canadian_Natural_Resources_Limited_Oil_Asset_(Manitoba,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,13.0,13.0,2.7319281864272513,13.0
1217,1217,6307,Itapu Eco,oil and gas,field,Brazil,-24.7665,-42.70841,Offshore,"https://www.gem.wiki/Itapu_Eco_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2023-08,2026-02,103.6,Offshore FPSO-based production,True,2.0,2.0,1.69201863853221,2.0
