,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
410,2005,Pouce Coupe South,oil and gas,field,Canada,55.684,-119.748,Onshore,"https://www.gem.wiki/Pouce_Coupe_South_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,200.0,Onshore horizontal drilling (shale / tight oil),True,12.0,18.0,1.1968833157126701,18.0
411,2018,Resthaven,oil and gas,field,Canada,54.21,-118.244,Onshore,"https://www.gem.wiki/Resthaven_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,,True,6.0,6.0,1.8974959459451606,6.0
412,2023,Ricinus,oil and gas,field,Canada,51.874,-115.049,Onshore,"https://www.gem.wiki/Ricinus_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,1200.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,7.0,7.0,2.75554806888864,7.0
413,2038,Sawn Lake,oil and gas,field,Canada,56.885,-115.967,Onshore,"https://www.gem.wiki/Sawn_Lake_Oil_and_Gas_Field_(Alberta,_Canada)",2018-01,2026-02,1000.0,Onshore thermal recovery – SAGD,True,1.0,1.0,0.0920792251206613,7.0
414,2048,Simonette,oil and gas,field,Canada,54.401,-117.803,Onshore,"https://www.gem.wiki/Simonette_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,1000.0,Onshore conventional vertical drilling,True,7.0,7.0,2.4975078118498057,7.0
415,2049,Sinclair,oil and gas,field,Canada,55.331,-119.79,Onshore,"https://www.gem.wiki/Sinclair_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,10.3,,True,5.0,5.0,2.5627617721750213,5.0
416,2052,Smoky,oil and gas,field,Canada,54.05,-118.227,Onshore,"https://www.gem.wiki/Smoky_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,1200.0,Onshore directional drilling,True,5.0,10.0,2.803637485363679,10.0
417,2059,Stettler,oil and gas,field,Canada,52.268,-112.789,Onshore,"https://www.gem.wiki/Stettler_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,4.0,4.0,1.404636934879577,4.0
418,2060,Stewart,oil and gas,field,Canada,51.787,-113.836,Onshore,"https://www.gem.wiki/Stewart_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,5.0,2.556164617490741,5.0
419,2061,Stolberg,oil and gas,field,Canada,52.627,-116.083,Onshore,"https://www.gem.wiki/Stolberg_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,10.0,0.6135476266475395,10.0
420,2072,Sylvan Lake,oil and gas,field,Canada,52.208,-114.332,Onshore,"https://www.gem.wiki/Sylvan_Lake_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,7.0,7.0,2.5859002407536797,7.0
421,2082,Tony Creek North,oil and gas,field,Canada,54.535,-117.091,Onshore,"https://www.gem.wiki/Tony_Creek_North_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,9.0,15.0,1.4582330692584728,15.0
422,2089,Valhalla,oil and gas,field,Canada,55.594,-119.204,Onshore,"https://www.gem.wiki/Valhalla_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,256.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,5.0,1.6271342703840967,5.0
423,2093,Virginia Hills,oil and gas,field,Canada,54.612,-115.905,Onshore,"https://www.gem.wiki/Virginia_Hills_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,5.0,5.0,2.477800935015386,5.0
424,2099,Waskahigan,oil and gas,field,Canada,54.451,-117.423,Onshore,"https://www.gem.wiki/Waskahigan_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,1000.0,Onshore hydraulic fracturing (primary technology),True,5.0,5.0,1.1479377519299239,5.0
425,2108,Whitehorse,oil and gas,field,Canada,53.302,-116.125,Onshore,"https://www.gem.wiki/Whitehorse_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,6.0,6.0,1.7922908165035865,6.0
426,2109,Wild River,oil and gas,field,Canada,53.854,-117.593,Onshore,"https://www.gem.wiki/Wild_River_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,,True,6.0,6.0,1.890749254351842,6.0
427,2112,Willesden Green,oil and gas,field,Canada,52.594,-114.882,Onshore,"https://www.gem.wiki/Willesden_Green_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,1000.0,Onshore horizontal drilling (shale / tight oil),True,5.0,5.0,2.7639821799960336,5.0
428,2130,Orocual,oil,field,Venezuela,9.853236547,-63.36824828,Onshore,https://www.gem.wiki/Orocual_Oil_Field_(Venezuela),2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,6.0,6.0,1.0071182391257487,6.0
429,2133,Boquerón,oil,field,Venezuela,9.414,-63.021,Onshore,https://www.gem.wiki/Boquerón_Oil_Field_(Venezuela),2016-01,2026-02,12.42,Onshore conventional vertical drilling,True,1.0,1.0,2.4219240548772096,1.0
430,2145,Cold Lake Area - Scheme 10103Z Oil Sands,oil,project,Canada,54.534,-110.394,Onshore,"https://www.gem.wiki/Cold_Lake_Area_-_Scheme_10103Z_Oil_Sands_Project_(Alberta,_Canada)",2016-01,2026-02,12.8,Onshore thermal recovery – SAGD,True,8.0,8.0,0.928114047143057,10.0
431,2148,Athabasca Area - Scheme 10423Y Oil Sands,oil,project,Canada,55.998,-113.447,Onshore,"https://www.gem.wiki/Athabasca_Area_-_Scheme_10423Y_Oil_Sands_Project_(Alberta,_Canada)",2016-01,2026-02,,Onshore thermal recovery – SAGD,True,9.0,10.0,1.6134253445959073,10.0
432,2150,Athabasca Area - Scheme 10587S Oil Sands,oil,project,Canada,56.123,-111.75,Onshore,"https://www.gem.wiki/Athabasca_Area_-_Scheme_10587S_Oil_Sands_Project_(Alberta,_Canada)",2016-01,2026-02,12.8,Onshore thermal recovery – SAGD,True,2.0,2.0,2.28402580547433,2.0
433,2156,Athabasca Area - Scheme 10935AA Oil Sands,oil,project,Canada,55.797,-111.473,Onshore,"https://www.gem.wiki/Athabasca_Area_-_Scheme_10935AA_Oil_Sands_Project_(Alberta,_Canada)",2016-01,2026-02,103.68,Onshore thermal recovery – SAGD,True,5.0,5.0,2.5590259511776434,5.0
434,2157,Peace River Area 2 Area - Scheme 11060K Oil Sands,oil,project,Canada,56.14,-116.672,Onshore,"https://www.gem.wiki/Peace_River_Area_2_Area_-_Scheme_11060K_Oil_Sands_Project_(Alberta,_Canada)",2016-01,2026-02,12.8,Onshore thermal recovery – SAGD,True,7.0,12.0,0.7554655000098311,12.0
